Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,271.03,338203.0,,
2025-11-19,284.0,69222.8,,
2025-11-20,282.0,81545.8,,
2025-11-21,280.0,29262.7,,
2025-11-25,270.0,34773.95,,
2025-11-26,275.0,47357.5,,
2025-11-27,282.0,22650.0,0.0,151.0
2025-11-28,280.0,4150.0,20.0,25.0
2025-12-01,167.4,23872.65,174.0,144.0
2025-12-02,160.0,40089.0,5.0,244.0
2025-12-03,160.0,12819.15,0.0,77.0
2025-12-04,166.5,1333.5,65.0,8.0
2025-12-06,166.0,13909.05,6.0,88.0
2025-12-09,174.0,31076.7,14.0,187.0
2025-12-10,172.0,11766.01,12.0,68.0
2025-12-11,172.0,142207.2,12.0,878.0
2025-12-13,155.0,353428.0,-5.0,2210.0
2025-12-15,179.49,44223.2,2449.0,246.0
2025-12-16,159.99,134887.97,499.0,875.0
2025-12-17,169.98,32208.33,999,214
