Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,14.01,118137.86,,
2025-11-19,16.48,30048.84,,
2025-11-20,16.99,15564.54,,
2025-11-21,16.89,34942.86,,
2025-11-25,15.0,17163.7,,
2025-11-26,14.79,12505.88,,
2025-11-27,15.0,4024.86,15.0,262.0
2025-11-28,16.14,3508.65,264.0,217.0
2025-12-01,13.99,21223.72,49.0,1457.0
2025-12-02,15.0,5866.48,1.0,387.0
2025-12-03,14.4,65422.67,4.0,4984.0
2025-12-04,14.43,23863.86,5.0,1707.0
2025-12-06,13.5,36197.71,-62.0,2634.0
2025-12-09,14.2,29996.8,-13.0,2233.0
2025-12-10,14.2,16265.86,0.0,1009.0
2025-12-11,15.98,6835.84,8.0,437.0
2025-12-13,15.95,6923.25,5.0,435.0
2025-12-15,15.9,28600.24,0.0,1871.0
2025-12-16,16.5,37332.45,-5.0,2214.0
2025-12-17,16.9,38340.2,0.0,2245.0
2025-12-19,17.4,17836.97,6,1023
