Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,165.0,598091.4,,
2025-11-19,159.4,81220.79,,
2025-11-20,158.9,73137.0,,
2025-11-21,158.75,433862.13,,
2025-11-25,160.0,77232.05,,
2025-11-26,149.99,18637.0,,
2025-11-27,150.0,34377.25,2.0,237.0
2025-11-28,170.0,68082.0,-5.0,484.0
2025-12-01,140.0,19665.0,0.0,136.0
2025-12-02,142.0,31738.65,-3.0,229.0
2025-12-03,133.0,16829.07,-9.0,120.0
2025-12-04,140.0,28582.0,0.0,204.0
2025-12-06,139.99,22398.4,-1.0,160.0
2025-12-09,139.0,80437.65,-99.0,582.0
2025-12-10,137.99,49346.09,-101.0,359.0
2025-12-11,137.95,83394.35,-4.0,615.0
2025-12-13,134.99,269912.77,499.0,2115.0
2025-12-15,121.0,302086.24,-7.0,2787.0
2025-12-16,134.0,11186.39,13.0,84.0
2025-12-17,134.5,17515.75,135,132
